#{"t_start": 1720693212.6348329, "env_id": "Humanoid-v4"}
r,l,t
292.385908,64,1661.663356
354.255922,72,1667.575601
525.383102,102,1675.798109
556.571688,105,1684.354288
392.298476,76,1691.025427
351.951491,65,1697.383257
299.266988,55,1702.848086
415.17884,74,1714.42384
470.294726,99,1724.988373
330.593788,75,1731.464678
373.570192,68,1736.816654
333.880047,74,1743.041218
274.17114,55,1747.701437
379.094969,67,1753.266328
365.652712,78,1760.235141
466.056894,88,1767.652189
432.086231,80,1774.88738
245.871885,49,1781.676484
337.504746,67,1788.528099
255.352669,50,1793.82044
666.573807,135,1806.751864
395.829246,86,1816.151669
424.423832,92,1826.543934
435.639971,79,1835.30541
338.852809,73,1842.996789
289.816848,59,1850.263466
336.663497,61,1856.561202
382.305462,76,1865.168608
463.148667,92,1874.917457
499.1156,98,1885.812486
331.239115,61,1891.861135
336.455549,61,1899.171539
390.091888,81,1907.805807
387.44114,74,1914.776073
292.573352,56,1920.43138
584.683487,113,1931.86262
358.364845,69,1938.236652
570.33795,110,1948.524887
475.898511,90,1957.071062
495.929663,90,1965.128862
752.759775,162,1978.591308
325.694092,59,1983.193326
454.657228,86,1990.270601
409.718512,74,1995.920998
385.375721,82,2002.706032
498.471972,91,2009.635371
388.712142,70,2015.362737
342.040459,66,2020.791436
271.442262,57,2024.884438
326.470585,61,2030.215712
382.423177,72,2036.614356
375.627985,71,2042.831834
244.155654,55,2048.021618
334.396444,63,2053.636635
625.892656,120,2064.440725
384.952998,71,2071.253616
526.504763,105,2081.598166
541.561802,116,2092.19125
377.962597,78,2099.133089
311.280849,57,2103.977269
322.965626,60,2109.967955
416.038659,91,2118.968273
459.583491,86,2126.550969
514.386939,96,2134.661422
349.549379,69,2140.38657
401.811218,83,2147.389494
214.802809,44,2151.068176
346.798711,78,2157.36114
636.924988,136,2168.152652
288.614036,52,2171.932003
503.709315,102,2180.061424
332.877606,74,2185.991015
385.500907,82,2192.334337
378.613846,69,2197.659079
736.512423,148,2209.331321
325.660457,73,2215.493259
392.439186,73,2221.442118
422.92222,80,2228.007734
736.661849,138,2239.703831
469.50141,101,2248.310645
482.386631,90,2255.730016
406.447681,75,2262.524823
277.162755,51,2266.525286
346.262287,65,2272.619317
365.895605,66,2277.974888
306.690925,71,2284.441842
406.722536,77,2291.570824
475.979054,90,2299.531731
598.50498,109,2310.243721
415.298795,76,2316.971044
413.959634,82,2326.496495
401.575181,74,2338.187925
432.223569,82,2348.154622
291.37239,60,2354.76647
494.862008,95,2364.610144
323.631745,70,2371.570415
369.03153,77,2378.876402
634.062805,118,2389.367593
450.598815,85,2396.563682
466.237347,99,2405.485091
504.271416,109,2416.143528
379.698039,84,2424.182098
428.372589,95,2432.938331
347.837338,74,2439.309605
484.301427,90,2446.919044
430.743796,80,2454.115923
637.621408,121,2466.183312
